rats,groupe,cond,inje,session,trend,bloc,norm
50,eyfp,baseline,8,1,1,1,1.1428571428571428
51,eyfp,baseline,13,1,1,1,1.1818181818181819
52,eyfp,baseline,10,1,1,1,1.5384615384615385
63,eyfp,baseline,12,1,1,1,1.2972972972972974
64,eyfp,baseline,16,1,1,1,1.1228070175438596
21,eyfp,baseline,13,1,1,1,1.0833333333333333
22,eyfp,baseline,15,1,1,1,1.1111111111111112
53,stim,baseline,10,1,1,1,1
54,stim,baseline,7,1,1,1,1.0769230769230769
55,stim,baseline,8,1,1,1,0.9411764705882353
59,stim,baseline,11,1,1,1,1.1282051282051282
14,stim,baseline,9,1,1,1,0.8780487804878049
19,stim,baseline,14,1,1,1,0.9655172413793104
20,stim,baseline,11,1,1,1,0.9565217391304348
50,eyfp,baseline,7,2,2,1,1
51,eyfp,baseline,13,2,2,1,1.1818181818181819
52,eyfp,baseline,7,2,2,1,1.0769230769230769
63,eyfp,baseline,10,2,2,1,1.0810810810810811
64,eyfp,baseline,16,2,2,1,1.1228070175438596
21,eyfp,baseline,12,2,2,1,1
22,eyfp,baseline,12,2,2,1,0.8888888888888888
53,stim,baseline,11,2,2,1,1.1
54,stim,baseline,4,2,2,1,0.6153846153846154
55,stim,baseline,9,2,2,1,1.0588235294117647
59,stim,baseline,11,2,2,1,1.1282051282051282
14,stim,baseline,9,2,2,1,0.8780487804878049
19,stim,baseline,14,2,2,1,0.9655172413793104
20,stim,baseline,12,2,2,1,1.0434782608695652
50,eyfp,baseline,4,3,3,1,0.5714285714285714
51,eyfp,baseline,9,3,3,1,0.8181818181818182
52,eyfp,baseline,4,3,3,1,0.6153846153846154
63,eyfp,baseline,7,3,3,1,0.7567567567567568
64,eyfp,baseline,12,3,3,1,0.8421052631578947
21,eyfp,baseline,12,3,3,1,1
22,eyfp,baseline,13,3,3,1,0.9629629629629629
53,stim,baseline,11,3,3,1,1.1
54,stim,baseline,6,3,3,1,0.9230769230769231
55,stim,baseline,9,3,3,1,1.0588235294117647
59,stim,baseline,10,3,3,1,1.0256410256410255
14,stim,baseline,13,3,3,1,1.2682926829268293
19,stim,baseline,16,3,3,1,1.103448275862069
20,stim,baseline,12,3,3,1,1.0434782608695652
50,eyfp,baseline,9,4,4,1,1.2857142857142858
51,eyfp,baseline,9,4,4,1,0.8181818181818182
52,eyfp,baseline,5,4,4,1,0.7692307692307693
63,eyfp,baseline,8,4,4,1,0.8648648648648649
64,eyfp,baseline,13,4,4,1,0.9122807017543859
21,eyfp,baseline,11,4,4,1,0.9166666666666666
22,eyfp,baseline,14,4,4,1,1.037037037037037
53,stim,baseline,8,4,4,1,0.8
54,stim,baseline,9,4,4,1,1.3846153846153846
55,stim,baseline,8,4,4,1,0.9411764705882353
59,stim,baseline,7,4,4,1,0.717948717948718
14,stim,baseline,10,4,4,1,0.975609756097561
