X1,X1_1,rats,groupe,nExp,trend,err,mang,pellets,pers,ratio,cond,bloc
1,1,1,eyfp,1,1,10,162,29,12,45,baseline,1
2,2,11,eyfp,1,1,47,254,27,18,40,baseline,1
3,3,12,eyfp,1,1,90,76,18,13,25,baseline,1
4,4,42,eyfp,1,1,46,184,38,111,60,baseline,1
5,5,44,eyfp,1,1,107,84,25,16,40,baseline,1
6,6,14,stim,1,1,70,111,25,10,40,baseline,1
7,7,16,stim,1,1,17,22,16,5,25,baseline,1
8,8,38,stim,1,1,24,74,27,119,40,baseline,1
9,9,39,stim,1,1,46,193,11,35,15,baseline,1
10,10,40,stim,1,1,27,175,17,13,25,baseline,1
11,11,8,stim,1,1,31,181,22,6,35,baseline,1
12,12,2_16,stim,2,1,1,234,24,12,35,baseline,1
13,13,1,eyfp,1,2,14,52,23,15,35,baseline,1
14,14,11,eyfp,1,2,47,497,35,22,55,baseline,1
15,15,12,eyfp,1,2,80.5,97,17.5,17.5,25,baseline,1
16,16,42,eyfp,1,2,41,254,29,16,45,baseline,1
17,17,44,eyfp,1,2,24,150,32,69,50,baseline,1
18,18,14,stim,1,2,63,185,26,27,40,baseline,1
19,19,16,stim,1,2,12,19,12,3,15,baseline,1
20,20,38,stim,1,2,30,120,27,57,40,baseline,1
21,21,39,stim,1,2,22,137,37,61,60,baseline,1
22,22,40,stim,1,2,32,144,33,23,50,baseline,1
23,23,8,stim,1,2,89,262,30,30,45,baseline,1
24,24,2_16,stim,2,2,3,170,25,7,40,baseline,1
25,25,1,eyfp,1,3,5,165,24,25,35,baseline,1
26,26,11,eyfp,1,3,35,318,26,12,40,baseline,1
27,27,12,eyfp,1,3,71,118,17,9,25,baseline,1
28,28,42,eyfp,1,3,43,175,33,36,50,baseline,1
29,29,44,eyfp,1,3,18,159,22,17,35,baseline,1
30,30,14,stim,1,3,52,224,23,8,35,baseline,1
31,31,16,stim,1,3,47,168,32,12,50,baseline,1
32,32,38,stim,1,3,58,113,27,47,40,baseline,1
33,33,39,stim,1,3,36,97,33,133,50,baseline,1
34,34,40,stim,1,3,27,85,29,33,45,baseline,1
35,35,8,stim,1,3,97,245,29,16,45,baseline,1
36,36,2_16,stim,2,3,3,80,22,8,30,baseline,1
37,37,1,eyfp,1,4,1,280,30,14,45,baseline,1
38,38,11,eyfp,1,4,14,272,22,14,35,baseline,1
39,39,12,eyfp,1,4,66,103,14,49,20,baseline,1
40,40,42,eyfp,1,4,23,56,23,76,35,baseline,1
41,41,44,eyfp,1,4,57,144,23,15,35,baseline,1
42,42,14,stim,1,4,20,97,22,7,35,baseline,1
43,43,16,stim,1,4,21,50,16,9,25,baseline,1
44,44,38,stim,1,4,70,129,27,64,40,baseline,1
45,45,39,stim,1,4,25,97,29,55,45,baseline,1
46,46,40,stim,1,4,37,156,29,32,45,baseline,1
47,47,8,stim,1,4,98,187,29,9,45,baseline,1
48,48,2_16,stim,2,4,3,154,24,37,35,baseline,1
49,49,1,eyfp,1,5,5,296,31,55,50,laser,2
50,50,11,eyfp,1,5,7,164,19,16,30,laser,2
51,51,12,eyfp,1,5,45,56,18,9,25,laser,2
52,52,42,eyfp,1,5,50,129,21,33,30,laser,2
53,53,44,eyfp,1,5,22,192,26,20,45,laser,2
54,54,14,stim,1,5,3,26,3,3,3,laser,2
55,55,16,stim,1,5,5,34,9,9,10,laser,2
56,56,38,stim,1,5,22,26,10,30,15,laser,2
57,57,39,stim,1,5,7,71,15,22,20,laser,2
58,58,40,stim,1,5,15,59,13,8,20,laser,2
59,59,8,stim,1,5,22,85,17,8,25,laser,2
60,60,2_16,stim,2,5,4,168,17,79,25,laser,2
61,61,1,eyfp,1,6,2,104,30,15,45,laser,2
62,62,11,eyfp,1,6,9,124,19,17,30,laser,2
63,63,12,eyfp,1,6,80,81,26,11,40,laser,2
64,64,42,eyfp,1,6,12,58,16,63,25,laser,2
65,65,44,eyfp,1,6,30,125,26,24,40,laser,2
66,66,14,stim,1,6,63,51,18,17,25,laser,2
67,67,16,stim,1,6,57,54,19,17,30,laser,2
68,68,38,stim,1,6,28,51,17,38,25,laser,2
69,69,39,stim,1,6,8,66,16,25,25,laser,2
70,70,40,stim,1,6,11,67,16,12,25,laser,2
71,71,8,stim,1,6,6,106,15,18,20,laser,2
72,72,2_16,stim,2,6,3,130,16,13,25,laser,2
73,73,1,eyfp,1,7,4,150,24,22,35,laser,2
74,74,11,eyfp,1,7,6,53,15,10,20,laser,2
75,75,12,eyfp,1,7,66,109,26,11,40,laser,2
76,76,42,eyfp,1,7,35,100,24,40,35,laser,2
77,77,44,eyfp,1,7,48,176.5,26,20.5,40,laser,2
78,78,14,stim,1,7,14,26,7,20,10,laser,2
79,79,16,stim,1,7,19,20,9,6,10,laser,2
80,80,38,stim,1,7,22,79,16,27,25,laser,2
81,81,39,stim,1,7,10,50,19,21,30,laser,2
82,82,40,stim,1,7,18,77,20,28,30,laser,2
83,83,8,stim,1,7,15,65,15,3,20,laser,2
84,84,2_16,stim,2,7,0,286,25,32,40,laser,2
85,85,1,eyfp,1,8,2,96,21,12,30,laser,2
86,86,11,eyfp,1,8,4,74,15,23,20,laser,2
87,87,12,eyfp,1,8,38,57,22,8,35,laser,2
88,88,42,eyfp,1,8,26,89,25,40,40,laser,2
89,89,44,eyfp,1,8,66,228,26,17,40,laser,2
90,90,14,stim,1,8,10,59,17,20,25,laser,2
91,91,16,stim,1,8,44,82,21,5,30,laser,2
92,92,38,stim,1,8,40,51,16,44,25,laser,2
93,93,39,stim,1,8,6,68,14,14,20,laser,2
94,94,40,stim,1,8,24,52,20,30,30,laser,2
95,95,8,stim,1,8,36,137,20,17,30,laser,2
96,96,2_16,stim,2,8,4,100,18,5,25,laser,2
97,97,1,eyfp,1,9,1,226,34,16,55,laser,3
98,98,11,eyfp,1,9,15,130,18,50,25,laser,3
99,99,12,eyfp,1,9,37,41,17,59,25,laser,3
100,100,42,eyfp,1,9,33,77,28,77,45,laser,3
101,101,44,eyfp,1,9,23,171,33,22,50,laser,3
102,102,14,stim,1,9,6,34,16,15,25,laser,3
