"","X1","rats","groupe","cond","inje","session","trend","norminje","bloc"
"1",1,50,"eyfp","baseline",8,1,1,1.14285714285714,1
"2",2,51,"eyfp","baseline",13,1,1,1.18181818181818,1
"3",3,52,"eyfp","baseline",10,1,1,1.53846153846154,1
"4",4,63,"eyfp","baseline",12,1,1,1.2972972972973,1
"5",5,64,"eyfp","baseline",16,1,1,1.12280701754386,1
"6",6,21,"eyfp","baseline",13,1,1,1.08333333333333,1
"7",7,22,"eyfp","baseline",15,1,1,1.11111111111111,1
"8",8,56,"inhi","baseline",8,1,1,1,1
"9",9,57,"inhi","baseline",8,1,1,0.941176470588235,1
"10",10,65,"inhi","baseline",11,1,1,1.07317073170732,1
"11",11,66,"inhi","baseline",11,1,1,0.977777777777778,1
"12",12,5,"inhi","baseline",17,1,1,1.04615384615385,1
"13",13,6,"inhi","baseline",14,1,1,1.01818181818182,1
"14",14,23,"inhi","baseline",13,1,1,1.1304347826087,1
"15",15,50,"eyfp","baseline",7,2,2,1,1
"16",16,51,"eyfp","baseline",13,2,2,1.18181818181818,1
"17",17,52,"eyfp","baseline",7,2,2,1.07692307692308,1
"18",18,63,"eyfp","baseline",10,2,2,1.08108108108108,1
"19",19,64,"eyfp","baseline",16,2,2,1.12280701754386,1
"20",20,21,"eyfp","baseline",12,2,2,1,1
"21",21,22,"eyfp","baseline",12,2,2,0.888888888888889,1
"22",22,56,"inhi","baseline",7,2,2,0.875,1
"23",23,57,"inhi","baseline",10,2,2,1.17647058823529,1
"24",24,65,"inhi","baseline",9,2,2,0.878048780487805,1
"25",25,66,"inhi","baseline",12,2,2,1.06666666666667,1
"26",26,5,"inhi","baseline",17,2,2,1.04615384615385,1
"27",27,6,"inhi","baseline",13,2,2,0.945454545454545,1
"28",28,23,"inhi","baseline",12,2,2,1.04347826086957,1
"29",29,50,"eyfp","baseline",4,3,3,0.571428571428571,1
"30",30,51,"eyfp","baseline",9,3,3,0.818181818181818,1
"31",31,52,"eyfp","baseline",4,3,3,0.615384615384615,1
"32",32,63,"eyfp","baseline",7,3,3,0.756756756756757,1
"33",33,64,"eyfp","baseline",12,3,3,0.842105263157895,1
"34",34,21,"eyfp","baseline",12,3,3,1,1
"35",35,22,"eyfp","baseline",13,3,3,0.962962962962963,1
